node_id,x,y,label,type
O32615481,116.376824,39.932846,,normal
O32615483,116.3800673,39.9332194,,normal
O32615484,116.3829543,39.9331254,,normal
O32618802,116.392858,39.9409123,,normal
O32618804,116.3915288,39.9416874,,normal
O32618810,116.3875375,39.944569,,normal
O32618815,116.3809665,39.9479339,,normal
O32618816,116.3799325,39.9480672,,normal
O32618822,116.3791786,39.9517998,,normal
O32618834,116.3939925,39.9491643,,normal
O32618837,116.3902187,39.9491138,,normal
O32618840,116.3159048,39.9921212,,normal
O32618841,116.3152536,40.0039887,,normal
O32618842,116.3328124,39.9927678,,normal
O32618865,116.3792934,39.958744,,normal
O32618866,116.379565,39.9614444,,normal
O32618871,116.3812644,39.9756329,,normal
O32618873,116.3812948,39.9761412,,normal
O32618874,116.3812475,39.9773375,,normal
O32618883,116.373629,39.9871918,,normal
O32618885,116.3722804,39.9873537,,normal
O32744802,116.3960562,39.9412124,,normal
O32850096,116.403098,39.9400846,,normal
O32877189,116.4256523,39.9409633,,normal
O32877193,116.4331958,39.940848,,normal
