node_id,x,y,label,type
O103894380,121.4355473,31.2159426,,normal
O103894417,121.4360924,31.2163433,,normal
O103894443,121.4366344,31.2167006,,normal
O103894518,121.4393572,31.2185055,,normal
O103894611,121.4397813,31.2188338,,normal
O103894702,121.4410133,31.2192824,,normal
O103894705,121.4421761,31.2194628,,normal
O103894725,121.4442395,31.2204743,,normal
O103894818,121.4451678,31.2207814,,normal
O103894851,121.4464326,31.2209668,,normal
O103895144,121.4370729,31.2169147,,normal
O103895156,121.4533222,31.2232009,,normal
O103895952,121.4620691,31.2238739,,normal
O103896122,121.4626148,31.2238858,,normal
O103896270,121.4725754,31.2256624,,normal
O103896524,121.4746774,31.226515,,normal
O103896610,121.4727308,31.2257267,,normal
O103896729,121.4780809,31.2292769,,normal
O105253317,121.4453327,31.208686,,normal
O105253333,121.4447938,31.2083457,,normal
O105253353,121.4438836,31.2077596,,normal
O105253363,121.4432802,31.2073872,,normal
O105253385,121.4387749,31.2044968,,normal
O105253431,121.4378916,31.2039609,,normal
O105253460,121.4370793,31.2063177,,normal
O105253478,121.4374206,31.2052822,,normal
O105259205,121.4356986,31.209313,,normal
O105259252,121.436075,31.2084728,,normal
O105259310,121.4353585,31.2105261,,normal
O105265362,121.4477488,31.2181796,,normal
O107524132,121.4242138,31.1850449,,normal
O107524493,121.4119042,31.20767,,normal
O107524545,121.4121295,31.2086972,,normal
O107524596,121.4122746,31.2093731,,normal
O107524633,121.4119507,31.2084576,,normal
O107525198,121.4118157,31.2076819,,normal
O107525227,121.4118525,31.2067589,,normal
O107525322,121.4119691,31.2055162,,normal
O107743908,121.4587002,31.2024294,,normal
O107744210,121.4625054,31.203336,,normal
O107744254,121.4628998,31.2034202,,normal
O107744391,121.4638198,31.2035926,,normal
O107744419,121.4646544,31.2038201,,normal
O107744516,121.4653284,31.2041581,,normal
O107744633,121.4658419,31.2044231,,normal
O109424347,121.4583639,31.2033771,,normal
O109424516,121.4675021,31.2052933,,normal
O109425002,121.4662985,31.2097912,,normal
O109425172,121.4661675,31.210324,,normal
O109425203,121.4660295,31.2109963,,normal
O109425332,121.4658267,31.2117699,,normal
O109425376,121.4652228,31.2138289,,normal
O109425491,121.465033,31.2147774,,normal
O109425717,121.4648528,31.2155447,,normal
O109425720,121.4647112,31.2160617,,normal
O109425796,121.4643133,31.2174885,,normal
O109425825,121.463961,31.2188365,,normal
O109426004,121.4637847,31.2194236,,normal
O109426027,121.4635791,31.2201652,,normal
O109426242,121.4633875,31.2212803,,normal
O109426276,121.4633357,31.2214668,,normal
O109426392,121.4632807,31.2218875,,normal
O109426441,121.4631754,31.2226888,,normal
O109426471,121.4632424,31.2232595,,normal
O109426506,121.4632767,31.2239128,,normal
O109426553,121.4632425,31.2247139,,normal
O109426702,121.4632075,31.2250519,,normal
O109426785,121.4631096,31.2262814,,normal
O109427057,121.4629942,31.2268921,,normal
O109427633,121.4593396,31.230058,,normal
O109428563,121.4584044,31.2315242,,normal
O109428857,121.4575921,31.2311887,,normal
O109428956,121.4575165,31.2313652,,normal
O109429474,121.457442,31.2322074,,normal
O109429507,121.4574065,31.2329153,,normal
O109429717,121.4598039,31.2350234,,normal
O109429793,121.4602734,31.2357459,,normal
O109430205,121.4563689,31.242698,,normal
O109430331,121.4553593,31.243656,,normal
O109430367,121.4550182,31.2440272,,normal
O109430518,121.4531072,31.2469096,,normal
O109430663,121.4527689,31.2456714,,normal
O109430907,121.4557889,31.2459039,,normal
O109430975,121.4581535,31.2459219,,normal
O109431244,121.4594565,31.2458766,,normal
O109431383,121.4601345,31.2457592,,normal
O109431419,121.4605559,31.2456241,,normal
O109431506,121.4618199,31.2452353,,normal
O109431611,121.4608227,31.2455256,,normal
O109431647,121.461084,31.2454545,,normal
O109460983,121.466312,31.2083213,,normal
O109461430,121.4656963,31.2157508,,normal
O109461662,121.464718,31.2214465,,normal
O109461767,121.4632023,31.2212578,,normal
O109461790,121.4622552,31.2228188,,normal
O109484748,121.4620581,31.2305841,,normal
O109650542,121.4602588,31.2359381,,normal
O109651383,121.4537732,31.2457952,,normal
O109651849,121.4549107,31.2439706,,normal
O109651881,121.4552821,31.2435924,,normal
O109651987,121.4562949,31.2426412,,normal
O109652012,121.4574644,31.2412595,,normal
O109652182,121.4589218,31.2379663,,normal
O109652252,121.4600719,31.2356511,,normal
O109652287,121.4601186,31.2355503,,normal
O109652400,121.460276,31.2352218,,normal
O109652594,121.4600083,31.2353577,,normal
O109652634,121.4600017,31.2355105,,normal
O109652930,121.4573004,31.2411479,,normal
O109653414,121.453258,31.2457447,,normal
